iter	Logloss
0	0.6856286739
1	0.6776612215
2	0.6687353841
3	0.6618078199
4	0.6536138872
5	0.6468335907
6	0.6399420122
7	0.633630711
8	0.6278807707
9	0.6228257149
10	0.6173328095
11	0.6121527277
12	0.6062990794
13	0.6013353546
14	0.5963962361
15	0.5917209875
16	0.5875570006
17	0.5826803212
18	0.5781272537
19	0.5740480585
20	0.5701974495
21	0.566447482
22	0.5623419441
23	0.5587453034
24	0.5550982681
25	0.551683292
26	0.5481599895
27	0.5450501523
28	0.542141598
29	0.5389849129
30	0.5364626684
31	0.533416083
32	0.5301840646
33	0.5269794603
34	0.5245535714
35	0.5217202766
36	0.5192893261
37	0.5170460625
38	0.5143373503
39	0.5121916986
40	0.5097221024
41	0.5075645539
42	0.5054445059
43	0.5034846567
44	0.5012607159
45	0.4995720889
46	0.4973545767
47	0.4955772418
48	0.4940071383
49	0.4917016572
50	0.48971432
51	0.4878336465
52	0.4859293644
53	0.4844356287
54	0.483007177
55	0.481222416
56	0.4800365162
57	0.4788366138
58	0.477623891
59	0.4754401477
60	0.4737947108
61	0.4726834424
62	0.4707250711
63	0.4694073102
64	0.4673783716
65	0.4660217802
66	0.464572417
67	0.4631289281
68	0.4619589891
69	0.460644184
70	0.4595411915
71	0.4586208981
72	0.4573487658
73	0.4561216341
74	0.4551658353
75	0.4543655802
76	0.4535303
77	0.4523462845
78	0.451558628
79	0.4503403634
80	0.4493847124
81	0.4481991821
82	0.4470611646
83	0.4461460437
84	0.4451130643
85	0.4442856167
86	0.4429397768
87	0.441896083
88	0.4408941015
89	0.4398539915
90	0.4392121617
91	0.4386154433
92	0.4377837839
93	0.4367845734
94	0.435957717
95	0.4352863303
96	0.4346396236
97	0.4339953554
98	0.4331402721
99	0.4325797979
100	0.4320752603
101	0.4315929644
102	0.4308984124
103	0.4299363697
104	0.4291260283
105	0.4281330617
106	0.427606615
107	0.427061141
108	0.4266137961
109	0.425734513
110	0.4250521533
111	0.4243668748
112	0.4237060547
113	0.4230182638
114	0.4224427895
115	0.421824827
116	0.4208165647
117	0.4203393673
118	0.4194593083
119	0.4187469482
120	0.4182878915
121	0.4175480803
122	0.4166281194
123	0.4156771976
124	0.4150825482
125	0.4143185004
126	0.4139794449
127	0.4136082832
128	0.4132353111
129	0.4125734565
130	0.4118623156
131	0.4109254334
132	0.4099506073
133	0.4091831604
134	0.4083086434
135	0.4077392283
136	0.4074101113
137	0.4068406592
138	0.4060752813
139	0.4057573591
140	0.4054011236
141	0.4048259449
142	0.4041317254
143	0.4036833461
144	0.4032697701
145	0.4025147371
146	0.4016094069
147	0.4011255592
148	0.4007226237
149	0.3999924186
150	0.3996781541
151	0.3990494772
152	0.3988066666
153	0.3984353571
154	0.3977536255
155	0.3972804922
156	0.3965704227
157	0.3962488798
158	0.395878457
159	0.3956691936
160	0.3952700636
161	0.3950967489
162	0.3947207102
163	0.3945203878
164	0.3941565414
165	0.3936852554
166	0.3931489441
167	0.3929724151
168	0.3927077323
169	0.3921177012
170	0.3918359124
171	0.3915835327
172	0.3913855749
173	0.3908887221
174	0.3905593466
175	0.3903515241
176	0.3901799458
177	0.3895025738
178	0.3890348347
179	0.3888345123
180	0.3886159384
181	0.3884058622
182	0.3879746998
183	0.3875304585
184	0.3871930656
185	0.3867136145
186	0.3860568215
187	0.3858385063
188	0.3853279465
189	0.3851013184
190	0.3848766114
191	0.3844384293
192	0.3842267644
193	0.3840224518
194	0.3836476693
195	0.3832343889
196	0.3827940638
197	0.3823821874
198	0.3819397564
199	0.3816955788
200	0.3815344563
201	0.38119396
202	0.3808420842
203	0.3806877968
204	0.3803250588
205	0.3801180121
206	0.3799279238
207	0.3793864031
208	0.3790001303
209	0.3786750406
210	0.3783537193
211	0.3781773011
212	0.3777729247
213	0.3775468877
214	0.3771538908
215	0.3769172872
216	0.3765501895
217	0.3762549153
218	0.3760756523
219	0.375880059
220	0.3752186477
221	0.3750041749
222	0.3747853425
223	0.3744507575
224	0.3741639809
225	0.3740065161
226	0.3738774999
227	0.3735324222
228	0.3733275185
229	0.3729771205
230	0.3728517251
231	0.3727172408
232	0.3724753539
233	0.3720807313
234	0.3717067986
235	0.3715818465
236	0.3712715722
237	0.3708020965
238	0.3706994969
239	0.3705958997
240	0.3704358856
241	0.3701925208
242	0.3698785149
243	0.3697782059
244	0.3694106649
245	0.3692751092
246	0.3689807218
247	0.368738761
248	0.3686083039
249	0.3684555682
250	0.3683336457
251	0.3681965752
252	0.3679455995
253	0.3678201301
254	0.3676680964
255	0.3675185381
256	0.3673952855
257	0.3671342236
258	0.3668772626
259	0.3667554509
