iter	Logloss
260	0.3664523441
261	0.3663166037
262	0.366049815
263	0.3658796407
264	0.3657202178
265	0.3655363734
266	0.365316839
267	0.3651407533
268	0.3648509841
269	0.3645816831
270	0.3644496373
271	0.364337173
272	0.3641621957
273	0.3640305932
274	0.3637280776
275	0.3635961057
276	0.3634458085
277	0.3631606575
278	0.3630673683
279	0.362825777
280	0.3626848641
281	0.3625615746
282	0.3624443442
283	0.362332545
284	0.3621839103
285	0.3620592168
286	0.361850249
287	0.3615745193
288	0.3613454897
289	0.3611972615
290	0.3611017925
291	0.3610148211
292	0.3609220121
293	0.3607457417
294	0.3605009361
295	0.3603042344
296	0.3602043688
297	0.3600504508
298	0.359868971
299	0.3597304965
300	0.359659449
301	0.359520642
302	0.3593274133
303	0.3592393335
304	0.3590865239
305	0.3589296133
306	0.358831595
307	0.3587428871
308	0.3586592409
309	0.3585324784
310	0.3583504444
311	0.3582219085
312	0.3581195674
313	0.3580062534
314	0.3578950452
315	0.3578016083
316	0.3575177874
317	0.3574240179
318	0.3573411475
319	0.3572144959
320	0.3571048764
321	0.3569682493
322	0.3567629022
323	0.356655167
324	0.3565712991
325	0.3563606687
326	0.3562558153
327	0.3561509989
328	0.3559004296
329	0.3557856008
330	0.3555466696
331	0.3552815066
332	0.3551847813
333	0.3550041882
334	0.3549062807
335	0.354606573
336	0.3544376549
337	0.3540971216
338	0.353998549
339	0.3539018608
340	0.3538256038
341	0.3537175361
342	0.3536096901
